```csv
RespondentID,Age,Gender,IncomeBracket,LikelyToTry(1-5),BuyReason,PriceWilling,PreferredChannel,Concerns
58,32,Male,50k-75k,5,"Ginger kick",₱85,convenience store,"Strength of ginger"
59,36,Female,75k-100k,4,"Healthy snack",₱65,online,"Nutrition facts"
60,37,Male,100k+,3,"Skeptical on claims",₱45,office delivery,"Scientific backing"
61,30,Female,50k-75k,5,"Perfect for commute",₱65,convenience store,"None"
62,35,Male,75k-100k,4,"Natural sugars",₱85,online,"Low sugar?"
63,26,Female,30k-50k,4,"Energy boost needed",₱65,office delivery,"Crash after?"
64,31,Male,50k-75k,5,"Immunity daily",₱85,convenience store,"Subscription"
65,38,Female,100k+,3,"Taste preference",₱45,online,"Sample first"
66,33,Male,75k-100k,4,"Office health",₱65,office delivery,"Team buy"
67,29,Female,50k-75k,5,"Love ginger tea vibe",₱85,convenience store,"None"
68,34,Male,75k-100k,4,"Quick vitamins",₱65,online,"Dosage per shot"
69,27,Female,30k-50k,3,"Budget tight",₱45,office delivery,"Cheaper option"
70,39,Male,100k+,5,"Premium health",₱85,convenience store,"Organic?"
71,32,Female,50k-75k,4,"Tired afternoons",₱65,online,"Afternoon slump"
72,36,Male,75k-100k,5,"Digestion aid",₱85,office delivery,"None"
73,28,Female,30k-50k,4,"Natural energy",₱65,convenience store,"Effect duration"
74,30,Male,50k-75k,3,"If proven",₱45,online,"Reviews"
75,35,Female,75k-100k,5,"Wellness routine",₱65,office delivery,"Routine fit"
76,37,Male,100k+,4,"Flu prevention",₱85,convenience store,"Seasonal"
77,31,Female,50k-75k,5,"Busy professional",₱65,online,"None"
78,33,Male,75k-100k,4,"Ginger lover",₱85,office delivery,"Spice tolerance"
79,26,Female,30k-50k,3,"Young budget",₱45,convenience store,"Student discount?"
80,38,Male,100k+,5,"Exec health",₱65,online,"High quality"
81,29,Female,50k-75k,4,"Vitamin shot",₱85,office delivery,"Multi-vitamins?"
82,34,Male,75k-100k,5,"Daily essential",₱65,convenience store,"None"
83,32,Female,50k-75k,4,"Immunity hack",₱45,online,"Hack verified"
84,39,Male,100k+,3,"Alternative options",₱65,office delivery,"Competition"
85,27,Female,30k-50k,5,"Fresh taste",₱85,convenience store,"Taste great"
86,31,Male,50k-75k,4,"Energy sustain",₱65,online,"Sustained energy"
87,35,Female,75k-100k,5,"Natural pick-me-up",₱85,office delivery,"None"
88,36,Male,100k+,4,"Health investment",₱65,convenience store,"ROI health"
89,28,Female,50k-75k,3,"Trial pack",₱45,online,"Trial size"
90,30,Male,75k-100k,5,"Ginger power",₱65,office delivery,"Powerful"
91,33,Female,50k-75k,4,"Office perk",₱85,convenience store,"Perk"
92,37,Male,100k+,5,"Immunity armor",₱65,online,"None"
93,29,Female,30k-50k,4,"Calamansi crush",₱45,office delivery,"Flavor crush"
94,34,Male,50k-75k,3,"Price check",₱65,convenience store,"Worth it?"
95,38,Female,75k-100k,5,"Daily dose",₱85,online,"Dose perfect"
96,31,Male,100k+,4,"No crash",₱65,office delivery,"Stable energy"
97,26,Female,30k-50k,5,"Fun healthy",₱85,convenience store,"None"
98,32,Male,50k-75k,4,"Commute companion",₱65,online,"Portable"
99,35,Female,75k-100k,3,"Concerned taste",₱45,office delivery,"Sour?"
100,39,Male,100k+,5,"Proven natural",₱65,convenience store,"Trusted"
101,28,Female,50k-75k,4,"Vitamin boost",₱85,online,"Boost real"
102,33,Male,75k-100k,5,"Ginger fix",₱65,office delivery,"Fixes tummy"
103,30,Female,30k-50k,4,"Energy sip",₱45,convenience store,"Quick sip"
104,36,Male,50k-75k,3,"Maybe promo",₱65,online,"Discounted"
105,29,Female,75k-100k,5,"Immunity yes",₱85,office delivery,"None"
106,34,Male,100k+,4,"Natural vibe",₱65,convenience store,"Vibe good"
107,27,Female,50k-75k,5,"Tired fixer",₱85,online,"Fixes fatigue"
108,31,Male,75k-100k,4,"Office must",₱65,office delivery,"Must have"
109,38,Female,30k-50k,3,"Budget buy",₱45,convenience store,"Affordable?"
110,35,Male,100k+,5,"Health shot",₱65,online,"Shots daily"
111,32,Female,50k-75k,4,"Ginger good",₱85,office delivery,"Good for gut"
112,37,Male,75k-100k,5,"No sugar crash",₱65,convenience store,"None"
113,26,Female,30k-50k,4,"Fresh energy",₱45,online,"Fresh taste"
114,30,Male,50k-75k,3,"Test first",₱65,office delivery,"Sample"
115,39,Female,100k+,5,"Wellness win",₱85,convenience store,"Winning product"
116,33,Male,75k-100k,4,"Daily ritual",₱65,online,"Ritual fit"
117,28,Female,50k-75k,5,"Calamansi love",₱85,office delivery,"Love it"
118,34,Male,100k+,4,"Boost pack",₱65,convenience store,"Packed nutrients"
119,29,Female,30k-50k,3,"Pricey?",₱45,online,"Too much?"
120,31,Male,50k-75k,5,"Immunity king",₱65,office delivery,"None"
121,36,Female,75k-100k,4,"Natural high",₱85,convenience store,"High energy"
122,37,Male,100k+,5,"Ginger hero",₱65,online,"Hero for health"
123,32,Female,50k-75k,4,"Quick fix",₱45,office delivery,"Fix fast"
124,35,Male,75k-100k,3,"Flavor doubt",₱65,convenience store,"Taste okay?"
125,27,Female,30k-50k,5,"Busy life saver",₱85,online,"Saves time"
126,38,Male,50k-75k,4,"Vitamin hit",₱65,office delivery,"Hits spot"
127,30,Female,100k+,5,"Pro energy",₱85,convenience store,"None"
128,33,Male,75k-100k,4,"No jitters",₱65,online,"Smooth"
129,29,Female,50k-75k,3,"Allergy check",₱45,office delivery,"Safe?"
130,34,Male,100k+,5,"Daily go-to",₱65,convenience store,"Go-to"
131,31,Female,30k-50k,4,"Healthy habit",₱85,online,"Habit forming good"
132,39,Male,50k-75k,5,"Tummy tame",₱65,office delivery,"Tames digestion"
133,28,Female,75k-100k,4,"Office oasis",₱45,convenience store,"Oasis refresh"
134,36,Male,100k+,3,"Wait and see",₱65,online,"See results"
135,32,Female,50k-75k,5,"Natural nectar",₱85,office delivery,"None"
136,35,Male,75k-100k,4,"Immunity guard",₱65,convenience store,"Guards well"
137,26,Female,30k-50k,5,"Youth boost",₱85,online,"Boosts me"
138,37,Male,50k-75k,4,"Ginger gold",₱65,office delivery,"Gold standard"
139,30,Female,100k+,3,"Eco concern",₱45,convenience store,"Bottle recycle?"
140,33,Male,75k-100k,5,"Energy elite",₱65,online,"Elite quality"
141,29,Female,50k-75k,4,"Sip savior",₱85,office delivery,"Saves day"
142,38,Male,100k+,5,"Health hack",₱65,convenience store,"None"
143,31,Female,30k-50k,4,"Calamansi kick",₱45,online,"Kicks in"
144,34,Male,50k-75k,3,"Mild spice?",₱65,office delivery,"Spice mild"
145,27,Female,75k-100k,5,"Pro pick",₱85,convenience store,"Picks me up"
146,39,Male,100k+,4,"Routine ready",₱65,online,"Ready daily"
147,32,Female,50k-75k,5,"Fresh fix",₱85,office delivery,"Fixes fresh"
148,35,Male
